fit,medium,batch,state,n,sse,wsse,rmse,weighted_rmse,mean_bias
base_mixed_full17_l2,synthetic,MS012,G,9,1552.2697044231481,247.87494725523976,13.132951366793833,5.248014939587896,7.9058180373229145
base_mixed_full17_l2,synthetic,MS012,F,9,615.2861576707953,98.13262150259706,8.268320786597988,3.3020636897854763,6.192563507555301
base_mixed_full17_l2,synthetic,MS012,E,4,560.8459674664688,108.93188259192326,11.841093356046864,5.218521883443703,-10.020547240065806
base_mixed_full17_l2,synthetic,MS012,Gly,9,9.825626788666664,79.01748729189103,1.0448618616122667,2.963059366636132,-0.12660659167373864
base_mixed_full17_l2,synthetic,MS013,X,7,2.1480713789995125,158.35786904059447,0.5539560811626434,4.756317138299856,-0.09748792064480608
base_mixed_full17_l2,synthetic,MS013,Xd,8,1.8390733221004916,310.9563206140025,0.47946237106008793,6.234544095340918,-0.43605145475704515
base_mixed_full17_l2,synthetic,MS013,N,8,0.08856309053314096,480.5696344130963,0.1052159033447065,7.7505615475033185,-0.0920047951485275
base_mixed_full17_l2,synthetic,MS013,G,8,259.24038410328444,40.80555611688897,5.692543193767664,2.258471721012048,-0.9355825646644358
base_mixed_full17_l2,synthetic,MS013,F,8,341.5771409360418,52.419243098391995,6.534305059989564,2.5597666665731467,-1.4471662459746706
base_mixed_full17_l2,synthetic,MS013,E,4,52.47775085249617,7.243739594936317,3.6220764366760734,1.3457098122307347,-2.0619569059648892
base_mixed_full17_l2,synthetic,MS013,Gly,8,1.675010601472798,13.431055083574329,0.45757657849162225,1.295716745838685,-0.06892917817316609
base_mixed_full17_l2,synthetic,MS014,X,7,0.9689027894242748,140.93240015657213,0.37204123992303306,4.487003456915032,0.01773795243000634
base_mixed_full17_l2,synthetic,MS014,Xd,8,1.7589804901966166,287.88001660721744,0.4689057061655115,5.99875004279243,-0.4130378102957202
base_mixed_full17_l2,synthetic,MS014,N,8,0.10984262302901816,578.2187895607369,0.11717648176416319,8.501608594559745,-0.1053727210218908
base_mixed_full17_l2,synthetic,MS014,G,8,301.9398157936399,45.09137117985128,6.143490618061119,2.3741148661093483,-5.072446023046224
base_mixed_full17_l2,synthetic,MS014,F,8,30.376062921236112,4.6931652161276345,1.948591251431278,0.7659279679029578,-1.0735347258332744
base_mixed_full17_l2,synthetic,MS014,E,4,26.47205436234428,4.937451784706981,2.5725500171203803,1.111018877506924,0.18839468107377932
base_mixed_full17_l2,synthetic,MS014,Gly,8,3.6122624900383675,29.26083946840931,0.6719619120566254,1.912486583887888,-0.20690065997964902
base_mixed_full17_l2,synthetic,MS015,X,7,1.0353753676958877,265.7523078338619,0.3845916884355385,6.161543264867774,0.2801714340446438
base_mixed_full17_l2,synthetic,MS015,Xd,8,1.754425765944018,286.568946041495,0.46829821774484925,5.985074624028248,-0.41977330426351195
base_mixed_full17_l2,synthetic,MS015,N,8,0.18161966120179385,719.6834992622541,0.15067334751117806,9.484747619614438,-0.13569544638371572
base_mixed_full17_l2,synthetic,MS015,G,8,2135.607989241764,335.8177071700206,16.3386351527666,6.478982435248035,-14.247116189163387
base_mixed_full17_l2,synthetic,MS015,F,8,1698.5774588819665,269.6658227643104,14.571279365939212,5.805878731556386,-11.894135486330958
base_mixed_full17_l2,synthetic,MS015,E,4,712.7066642201727,174.78524983564847,13.348283262466495,6.610318635203005,11.317348744128953
base_mixed_full17_l2,synthetic,MS015,Gly,8,3.380599900082164,27.50835843682723,0.6500576801409783,1.8543313632151628,0.48659291772166113
base_mixed_full17_l2,synthetic,MS016,X,7,0.6387237482440041,114.29969794536247,0.3020699418166982,4.040857369161762,0.08671628216215024
base_mixed_full17_l2,synthetic,MS016,Xd,8,1.475832131143762,243.84212472392457,0.42951020522563865,5.520893550005341,-0.33717984703412324
base_mixed_full17_l2,synthetic,MS016,N,8,0.100802226172372,580.0323891319149,0.11225096111635971,8.514930924058595,-0.09819742731845041
base_mixed_full17_l2,synthetic,MS016,G,8,968.4367026592486,154.94986885802487,11.00248098532354,4.4009923434667675,6.319550181627215
base_mixed_full17_l2,synthetic,MS016,F,8,472.1134550911185,73.39749298992578,7.682068854572303,3.0289745168523163,4.649080370037218
base_mixed_full17_l2,synthetic,MS016,E,4,502.01173337732763,92.02328918212831,11.202809172003775,4.7964385011727275,-9.625784153576735
base_mixed_full17_l2,synthetic,MS016,Gly,8,14.998849874311254,122.32154001566943,1.3692538969412893,3.9102675742151813,-0.8489146732422895
best_multistart_07,natural,LAB004,X,12,2.2057804710965208,335.7482754844277,0.4287365616063591,5.289520106496964,-0.08318278787667203
best_multistart_07,natural,LAB004,Xd,12,0.29149467444349714,71.45623343777538,0.15585641748189719,2.4402225553860077,-0.04896706164936885
best_multistart_07,natural,LAB004,N,13,0.007739532076466936,52.25632521802655,0.024399766828121276,2.0049232714654144,-0.019640540986937054
best_multistart_07,natural,LAB004,G,13,165.54489304506708,26.48718288721073,3.568504244347796,1.4274016977391184,-0.6252663527397373
best_multistart_07,natural,LAB004,F,13,495.15615937667826,79.22498550026853,6.171623395563566,2.4686493582254263,-3.5963982845621896
best_multistart_07,natural,LAB004,E,5,221.30717051825133,52.168460908181935,6.6529267321721095,3.2301226264085376,-4.183737706653496
best_multistart_07,natural,LAB004,Gly,13,4.72761528507022,38.592777837307914,0.6030445375228687,1.7229843929224822,-0.38562061317977914
best_multistart_07,natural,LAB005,X,12,1.4130574189160368,161.7265808712802,0.3431541707595432,3.671132668892079,-0.024593972657914603
best_multistart_07,natural,LAB005,Xd,12,0.4156092585889314,76.97711507807679,0.18610240428971073,2.5327375682924065,-0.03499803288303963
best_multistart_07,natural,LAB005,N,13,0.014112845034823152,88.9665525482622,0.03294849714656445,2.616023884686632,-0.026855732034098436
best_multistart_07,natural,LAB005,G,13,125.5766700367197,20.092267205875153,3.108012845690706,1.2432051382762823,-1.5081478563441122
best_multistart_07,natural,LAB005,F,13,776.0276926151628,124.16443081842604,7.7262175670553095,3.0904870268221236,6.550361377386636
best_multistart_07,natural,LAB005,E,5,60.07773597707727,14.70050946061498,3.466344933127033,1.714672532037239,0.8371685326385958
best_multistart_07,natural,LAB005,Gly,13,42.750180401743364,259.7266533728993,1.8134154007062806,4.469784484332201,-0.6375086580289676
best_multistart_07,natural,LAB006,X,14,7.635774065389468,439.37903027571576,0.7385204352230916,5.6021617656281055,-0.5621198067720559
best_multistart_07,natural,LAB006,Xd,14,0.27313370806195564,65.71069656573191,0.13967659279870046,2.1664766749878854,-0.036637674524439126
best_multistart_07,natural,LAB006,N,15,0.038772321358896564,266.8385725273522,0.05084113908958412,4.217729029761175,0.006454216402269323
best_multistart_07,natural,LAB006,G,15,4747.65252812353,759.6244044997648,17.790732658931407,7.116293063572564,14.789954971139478
best_multistart_07,natural,LAB006,F,15,2794.8837831109986,447.18140529775974,13.650113023002163,5.460045209200865,11.441999162440407
best_multistart_07,natural,LAB006,E,5,1036.1566426820473,258.3902008536722,14.395531547546602,7.188743991180549,-11.107030697515942
best_multistart_07,natural,LAB006,Gly,15,19.163752397693763,156.4387950832144,1.1303023901503455,3.2294354004295585,-0.7622528541923578
best_multistart_07,natural,LAB007,X,13,0.8687334314546744,108.58143608265874,0.258506573559429,2.890055044493879,-0.0922933217220776
