batch,state,t,mu0,qN,qXG,qXF,betaG0,betaF0,qEG,qEF
25150,F,30.0,-13.926924091899679,84.47019672553026,-0.1919328335270745,-4.539893586301158,0.5259000432856942,0.2699891952866124,-0.3015571594647941,-3.9053466939037405
25150,F,48.0,-25.44375497062215,228.02645588001167,-0.5713435548993494,-4.6785788890056255,1.709928225168485,0.9227869343267787,-1.226284104343365,-7.847582834829947
25150,F,54.0,-29.304648132070685,275.679668614087,-0.6985552364154233,-4.640639836804961,2.177950645999103,1.194664848243996,-1.6556436819396203,-9.121928869118763
25150,F,72.0,-40.291968731741584,410.14482953621547,-1.0711294878103887,-4.520518398794181,3.674446664560465,2.1106793126664956,-3.2224516141678614,-12.563283726643764
25150,F,102.0,-57.069598157401174,611.6986810630809,-1.6074803652178657,-4.200642257498069,6.2873659126797605,3.8927540144799915,-6.2735617755984325,-17.493293333448673
25150,F,120.0,-62.72214398965871,675.0187720698319,-1.7911409963908504,-3.910278507511594,7.727395996401302,5.103620786894081,-7.780420865015445,-19.33728544454032
25150,F,126.0,-63.38330470974234,680.7727011543692,-1.8140294293328834,-3.783828388801607,8.117125499756948,5.477834067221997,-8.129082094152338,-19.642219980414154
25150,F,144.0,-61.16859049688016,646.0113285834349,-1.754680736249306,-3.295902532771088,8.710143206871805,6.202516796480685,-8.510023690858274,-19.292213933416917
25150,F,150.0,-58.915368179114765,615.9958421960404,-1.689029766551378,-3.087172751506114,8.642964339904465,6.25940750726983,-8.383137004263617,-18.691531892035282
25150,F,168.0,-47.74301080396309,477.5957904700821,-1.3418747172481023,-2.28764963033875,7.4517314147462885,5.64773365391341,-7.136809315242897,-15.477532258926557
25150,F,174.0,-43.05892370247284,422.565452697446,-1.1881860058654359,-1.9836968999040283,6.773539619164532,5.195550534408978,-6.490388079729647,-14.109670727130256
25150,E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25150,E,6.0,4.682662268202183,-0.5165480069944438,0.0016586322753782202,-0.0007837335782824402,2.5242040544227806,1.2200985280518926,0.002113548665895126,-0.00048177327832363493
25150,E,24.0,73.57447552024051,-302.4205539008595,0.06338789762037578,-0.03855016145711298,19.104596544840884,9.794391906038568,0.09460485210088651,-0.02933190689533403
