profiled_theta,theta_value,theta_hat,objective,lr_stat,success,status,error,estimated_betaG0,estimated_betaF0,estimated_Kn0,estimated_Kg0,estimated_Kf0,estimated_Kig0,estimated_Kie0,estimated_Kd0,estimated_Yxn,estimated_Yxg,estimated_Yxf,estimated_Yeg,estimated_Yef,estimated_mu0,lr_stat_rebased
Kig0,46.679413992617015,41.49281243788179,,,False,failed,"RuntimeError: Solver failed to return an optimal solution. Solution status: warning, Termination condition: maxIterations",,,,,,,,,,,,,,,
Kig0,51.86601554735224,41.49281243788179,3677.2146721588724,2.237847022463029,True,optimal,,2.0,1.097086690041033,0.8429418190385446,0.001,0.045207638672609504,,7.489165316341369,0.0013298241616830253,7.877143136217405,9.999999946398741,0.07662352224421744,0.8098444494272887,0.7505632984737244,1.0,2.237847022463029
Kig0,57.05261710208747,41.49281243788179,3677.7486079358605,3.305718576439176,True,optimal,,2.0,1.1115112507700955,0.8434580769486345,0.001,0.04028840082493198,,7.395299575289506,0.0013237463747984663,7.8709827156285765,10.0,0.0784342872100468,0.800522228438582,0.7560275277354872,1.0,3.305718576439176
Kig0,62.239218656822686,41.49281243788179,3678.395602808462,4.599708321642538,True,optimal,,2.0,1.1239106171842257,0.8439730889910148,0.001,0.03631853763325025,,7.313863835649518,0.0013175936399885632,7.864897179765881,10.0,0.08010383694197705,0.7923561964027102,0.7606028618015088,1.0,4.599708321642538
Yxg,1.5401120103165744,3.080224020633149,3676.722393096935,1.2532888985879254,True,optimal,,2.0,1.0612990543685654,0.8420510009415003,0.001,0.05946863721872767,41.42954534409985,7.712509017987014,0.0013444294034229093,7.888895517348275,,0.07273482914940997,0.8442587747224626,0.7347110460187535,1.0,1.2532888985879254
Yxg,1.925140012895718,3.080224020633149,3676.715070276431,1.2386432575804065,True,optimal,,2.0,1.0615419770795325,0.8420325288993826,0.001,0.05943653477088072,41.529926391752184,7.7131691632294945,0.001343420984856506,7.888940680275678,,0.07271731231971482,0.8413141582987866,0.7352023383796485,1.0,1.2386432575804065
Yxg,2.3101680154748614,3.080224020633149,3676.7122672290943,1.2330371629068395,True,optimal,,1.9999999721424138,1.061703819189827,0.8420219075918173,0.001,0.05941196564008843,41.59683884648553,7.713646938061179,0.0013427639324022468,7.8889400900645805,,0.07270551283384868,0.8393610123016721,0.7355294717882725,0.9999999934994894,1.2330371629068395
Yxg,2.695196018054005,3.080224020633149,3676.71126860064,1.2310399059979318,True,optimal,,2.0,1.061820197600694,0.8420150668954677,0.001,0.05939263784713983,41.644672183819516,7.714001884583281,0.0013423022808200392,7.888926256407232,,0.07269705841982363,0.8379704667366386,0.7357633169231788,1.0,1.2310399059979318
Yxg,3.080224020633149,3.080224020633149,3676.7110651287476,1.230632962213349,True,optimal,,2.0,1.0619082314935042,0.8420102861971545,0.001,0.05937749517149717,41.680575960747085,7.714274569975905,0.0013419605030675357,7.888909319069772,,0.07269072623211724,0.836929900224389,0.7359389281827261,1.0,1.230632962213349
Yxg,3.465252023212292,3.080224020633149,3676.711227060343,1.2309568254040641,True,optimal,,2.0,1.0619773729854114,0.8420067600369977,0.001,0.05936527949803638,41.70851653973112,7.714489850725118,0.0013416975908729977,7.88889260882547,,0.07268581088656428,0.8361218735637269,0.7360757734870729,1.0,1.2309568254040641
Yxg,3.850280025791436,3.080224020633149,,,False,failed,ValueError: Cannot load a SolverResults object with bad status: error,,,,,,,,,,,,,,,
Yxg,4.235308028370579,3.080224020633149,3676.711958541943,1.2324197886046022,True,optimal,,2.0,1.0620792655241822,0.8420019059800381,0.001,0.05934685414633963,41.749177117281754,7.714807313436964,0.0013413200620514029,7.888863257970568,,0.07267868385653428,0.8349484892564981,0.7362753714212946,1.0,1.2324197886046022
Yxg,4.620336030949723,3.080224020633149,3676.7123832927473,1.2332692902127746,True,optimal,,2.0,1.0621179380786228,0.8420001641917577,0.001,0.05933975100214238,41.76442950925398,7.71492754595419,0.0013411800508692229,7.8888508147062595,,0.07267601951156252,0.8345090367000944,0.7363504199906296,1.0,1.2332692902127746
Yxf,0.001,0.0738056894062923,6974.832423390725,6597.473349486168,True,optimal,,2.0,2.0,2.0,0.23468094878571344,0.001,200.0,24.564510090198755,0.001460690206073597,0.20627944452289715,0.0016594021724887459,,0.896839076440893,2.0,0.2586619730954932,6597.473349486168
Yxf,0.07259446117578655,0.0738056894062923,4308.852584888798,1265.513672482315,True,optimal,,0.8354563820547443,2.0,0.816232225696513,0.001,0.0018570736242276241,8.665311781700279,16.728045060816743,0.025987359028607892,8.628330046742304,0.053042385934819164,,1.2397070932621186,1.1763932018671566,1.0,1265.513672482315
Yxf,0.0738056894062923,0.0738056894062923,3676.7200381819816,1.2485790686814653,True,optimal,,2.0,1.0676461627918743,0.8415500814956045,0.001,0.06578481052468076,42.23558497662647,7.683057283409918,0.001350555659433808,7.898500241363835,2.959825562305848,,0.8351014227592857,0.733951036562003,1.0,1.2485790686814653
Yxf,0.1441889223515731,0.0738056894062923,3685.2244779957755,18.25745869626917,True,optimal,,2.0,1.3128465125718807,0.8331072478313561,0.001,0.9629327276640999,59.37217014222043,6.83597724873769,0.001544792249273028,8.059214921809948,1.578891392299543,,0.7734842892303732,0.6627809895731543,1.0,18.25745869626917
Yxf,0.21578338352735965,0.0738056894062923,3723.2015995458396,94.21170179639739,True,optimal,,1e-05,2.0,0.7440668342817387,199.99998530739583,0.001,11.297915296984163,19.248042117743974,0.005608849081327242,8.673518233235265,0.029711905820741475,,1.9999999264844637,1.6044594094590685,1.0,94.21170179639739
Yxf,0.2873778447031462,0.0738056894062923,3694.9570476882095,37.72259808113722,True,optimal,,2.0,1.493679552917424,0.8322034558308481,0.001,1.7323669572975586,69.53069865705095,6.427085357697299,0.0016169435351438277,8.064162490737894,1.22049400950057,,0.7375627979236707,0.6369175392547958,1.0,37.72259808113722
Yxf,0.35897230587893275,0.0738056894062923,3697.2763507882737,42.3612042812656,True,optimal,,2.0,1.5346137111822111,0.8322556259297802,0.001,1.9045544646585388,71.67905174263113,6.346358450730355,0.0016297642864947707,8.060064086427579,1.1529872408843198,,0.7302667949476144,0.6325612711300429,1.0,42.3612042812656
