sample_id,analyte,station,value_raw,unit,analysis_datetime_raw,source_file,session_datetime,value,analysis_datetime,source_kind,process,analyte_canonical,analyte_priority,is_numeric
DOE-LAB002-1,GLUCOSE-320,ST1,"62,17",g/L,15-06-2026 17:06:44,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-15 16-36).txt,2026-06-15 16:36:00,62.17,2026-06-15 17:06:44,EXPAuto,F2,glucose_g_l,0,True
DOE-LAB002-1,ACETALDEHID-1000,ST1,42,mg/L,15-06-2026 17:10:20,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-15 16-36).txt,2026-06-15 16:36:00,42.0,2026-06-15 17:10:20,EXPAuto,F2,acetaldehyde_mg_l,0,True
DOE-LAB003-1,ACETIC ACID,ST1,"0,01",g/L,15-06-2026 17:18:21,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-15 16-36).txt,2026-06-15 16:36:00,0.01,2026-06-15 17:18:21,EXPAuto,F3,acetic_acid_g_l,0,True
DOE-LAB003-1,AMMONIA,ST1,147,mg/L,15-06-2026 16:55:31,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-15 16-36).txt,2026-06-15 16:36:00,147.0,2026-06-15 16:55:31,EXPAuto,F3,ammonia_mg_l,0,True
DOE-LAB003-1,GLYCEROL,ST1,"0,63",g/L,15-06-2026 17:18:21,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-15 16-36).txt,2026-06-15 16:36:00,0.63,2026-06-15 17:18:21,EXPAuto,F3,glycerol_g_l,0,True
DOE-LAB003-1,PAN,ST1,42,mg/L,15-06-2026 16:53:54,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-15 16-36).txt,2026-06-15 16:36:00,42.0,2026-06-15 16:53:54,EXPAuto,F3,pan_mg_l,0,True
DOE-LAB003-1,PYRUVIC ACID,ST1,5,mg/L,15-06-2026 17:15:33,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-15 16-36).txt,2026-06-15 16:36:00,5.0,2026-06-15 17:15:33,EXPAuto,F3,pyruvic_acid_mg_l,0,True
DOE-LAB003-1,GLU-FRU-320,ST1,"162,42",g/L,15-06-2026 17:15:09,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-15 16-36).txt,2026-06-15 16:36:00,162.42,2026-06-15 17:15:09,EXPAuto,F3,sugar_total_g_l,0,True
DOE-LAB003-1,GLUCOSE-320,ST1,"30,13",g/L,15-06-2026 17:14:20,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-15 16-36).txt,2026-06-15 16:36:00,30.13,2026-06-15 17:14:20,EXPAuto,F3,glucose_g_l,0,True
DOE-LAB003-1,ACETALDEHID-1000,ST1,22,mg/L,15-06-2026 17:17:57,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-15 16-36).txt,2026-06-15 16:36:00,22.0,2026-06-15 17:17:57,EXPAuto,F3,acetaldehyde_mg_l,0,True
DOE-LAB001-2,ACETIC ACID,ST1,"0,27",g/L,16-06-2026 09:38:20,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-16 09-10).txt,2026-06-16 09:10:00,0.27,2026-06-16 09:38:20,EXPAuto,F1,acetic_acid_g_l,0,True
DOE-LAB001-2,AMMONIA,ST1,218,mg/L,16-06-2026 09:25:55,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-16 09-10).txt,2026-06-16 09:10:00,218.0,2026-06-16 09:25:55,EXPAuto,F1,ammonia_mg_l,0,True
