fit,medium,batch,state,n,sse,wsse,rmse,weighted_rmse,mean_bias
mixed_reduced11,synthetic,MS015,Gly,8,4.429295065082403,35.92271383074636,0.744084594072005,2.119042054524472,0.5875208515544379
mixed_reduced11,synthetic,MS016,X,7,0.7685939534160176,160.93223212395392,0.3313595271035499,4.794822090010281,0.10527683834892147
mixed_reduced11,synthetic,MS016,Xd,8,1.5541942541720584,249.9314900721014,0.440765563277699,5.5894039269865505,-0.3599714215113086
mixed_reduced11,synthetic,MS016,N,8,0.11498709461958895,614.9339023417544,0.11988906049948268,8.767367780167506,-0.10304300008759493
mixed_reduced11,synthetic,MS016,G,8,1445.72748612839,231.31263361306526,13.443062737562775,5.377181343569617,8.16155163087903
mixed_reduced11,synthetic,MS016,F,8,625.716869654656,97.69825713175766,8.84390234607054,3.494607580468758,5.38695630636146
mixed_reduced11,synthetic,MS016,E,4,854.4781318714718,152.71883011602927,14.61572895779981,6.178973015720923,-12.610479633392744
mixed_reduced11,synthetic,MS016,Gly,8,15.75841468518425,128.4685848545242,1.403496289859019,4.0073149497906355,-0.8267151488624358
mixed_full17_l2,natural,LAB004,X,12,2.102179587587047,385.0408980526131,0.4185470490863848,5.664515999128648,-0.01602095809522878
mixed_full17_l2,natural,LAB004,Xd,12,0.28415406269348586,69.4171746183278,0.1538814648502449,2.405153748001844,-0.0543330936068378
mixed_full17_l2,natural,LAB004,N,13,0.008885539715999804,60.25787037583101,0.026143891352989286,2.1529562926684895,-0.02098779443665847
mixed_full17_l2,natural,LAB004,G,13,71.95159847334774,11.512255755735639,2.352602461977729,0.9410409847910917,-0.4146265385259976
mixed_full17_l2,natural,LAB004,F,13,424.264234189254,67.88227747028063,5.712767308603626,2.2851069234414503,-1.6236150181917208
mixed_full17_l2,natural,LAB004,E,5,284.83559342590263,67.21767644271571,7.547656502861038,3.6665426887659636,-5.742790793981166
mixed_full17_l2,natural,LAB004,Gly,13,5.339032747441813,43.58394079544338,0.6408547625837646,1.8310136073821848,-0.4696809634801337
mixed_full17_l2,natural,LAB005,X,12,1.3467017156263044,183.30288892101868,0.3350002133862883,3.9083552478527617,0.03670408409504968
mixed_full17_l2,natural,LAB005,Xd,12,0.4182387544207883,77.70753058692593,0.18669019667638065,2.544725436841958,-0.03652034305550066
mixed_full17_l2,natural,LAB005,N,13,0.014614245163714661,92.538883559066,0.03352868480720841,2.6680284215858148,-0.027648350028735284
mixed_full17_l2,natural,LAB005,G,13,60.32747032384307,9.652395251814891,2.1541993037543254,0.8616797215017302,-1.4789709053667872
mixed_full17_l2,natural,LAB005,F,13,1218.7514885105347,195.00023816168556,9.682464278313159,3.872985711325264,8.59732426138222
mixed_full17_l2,natural,LAB005,E,5,42.33179638560546,9.949826002227145,2.9097008913496745,1.4106612635375755,-0.5557503573911134
mixed_full17_l2,natural,LAB005,Gly,13,44.57876008756053,270.37529584945764,1.8517924806389106,4.560493359355708,-0.7095490039241495
mixed_full17_l2,natural,LAB006,X,14,6.825929427471973,406.25604150221574,0.6982595417726631,5.386862600691583,-0.5136282543733743
mixed_full17_l2,natural,LAB006,Xd,14,0.27271116000000006,65.59332210407757,0.13956850852333624,2.164540896621821,-0.03724285714285715
mixed_full17_l2,natural,LAB006,N,15,0.03744516264646339,257.57798990698757,0.049963428389481965,4.143895026879803,0.005295895014224252
mixed_full17_l2,natural,LAB006,G,15,4392.1091440682,702.7374630509121,17.111612322373755,6.844644928949503,13.893376334743552
mixed_full17_l2,natural,LAB006,F,15,2630.1059478724633,420.8169516595941,13.241616084331657,5.296646433732663,11.279497441918704
mixed_full17_l2,natural,LAB006,E,5,1090.8306091977997,271.8317409069308,14.770447584266359,7.373353930294283,-11.674958477508598
mixed_full17_l2,natural,LAB006,Gly,15,19.67951565526547,160.64910738992225,1.1454115899322093,3.2726045426634554,-0.7723678193187564
mixed_full17_l2,natural,LAB007,X,13,0.7953600138580463,123.80013293497886,0.24734902370444486,3.085949958901558,-0.025014759036974518
mixed_full17_l2,natural,LAB007,Xd,13,0.09562859620614325,26.563498946150904,0.08576739393272374,1.429456565545396,-0.03130776955735825
