batch,state,t,mu0,sN,qN,qXG,qXF,betaG0,sG,betaF0,sF,qEG,qEF,iG,iE,Kd0,m0
25086,E,144.0,49.7851450779408,0.004242515972132365,-404.19199815645993,-11.575419552407938,-10.619725721266219,124.58902036424708,17.585217318359778,130.68813322338931,73.01948938867152,-58.24029576754282,-47.86475759152452,-44.41292104301729,-203.4931898298345,1.7124803894734888e-10,-221.11933107544857
25086,E,150.0,35.92234863404582,0.0020482716332624446,-164.84184935723,-12.315326563221218,-11.702960881314635,128.6287225497397,11.299499489237839,136.278361688049,53.111313088558546,-61.72819224620073,-53.759699855823065,-28.494763433541948,-144.6404085889168,2.568720584210233e-10,-254.89210367752142
25086,E,168.0,8.580932293856415,1.727442220485775e-05,251.7712214081274,-13.016901807700297,-12.723053464654365,132.98128490105742,5.347849104022975,142.9722986181714,26.87562687490041,-66.38369133470076,-65.35458365237488,-13.862938839686569,-69.63638078646648,-7.44843345401494e-07,-296.33699401844933
25086,E,174.0,4.069603353575622,-1.1163989640629437e-06,304.83782045424374,-13.02334820307845,-12.732429513261753,133.07193279278698,5.2892311134957914,143.23711730849743,26.245668621210218,-66.63676576246472,-67.26150358972102,-13.718929251784997,-65.98686346558083,-8.432253437767459e-07,-297.10875467830624
25086,E,192.0,-0.4051867022660228,-3.981134585526236e-06,340.7096810883935,-13.024356077306782,-12.733894182304079,133.08810001195377,5.280049922072116,143.29524765114448,26.132863306235947,-66.70212012231329,-69.07925187145935,-13.696376880910519,-65.14376356846286,-8.593226594377967e-07,-297.2694732482274
25086,E,198.0,-0.4973179513946528,-3.985803475506119e-06,340.98435998003157,-13.024357735882276,-12.733896585415113,133.08813231804922,5.280034851867944,143.295381089216,26.132650528834848,-66.702268148262,-69.10683678161628,-13.696340117776348,-65.1421353742607,-1.6068203494429745e-06,-297.2699758113033
25086,E,216.0,-0.512643973291756,-3.986322612223707e-06,341.02435401710954,-13.024357925476446,-12.733896806385667,133.08813625877008,5.280033156383008,143.2953978361401,26.132625695828835,-66.70228625047662,-69.11049978654334,-13.69633575211189,-65.14195282423793,-8.692550456967429e-07,-297.2700525948582
25150,X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25150,X,6.0,6.649383182123907,0.005348149102924134,-1.1249472430761849,-4.934324553889586e-15,0.0,2.4671622769447922e-15,-1.850371707708594e-14,4.9343245538895844e-15,0.0,0.0,1.2089095157029487e-15,-2.0532187061661498e-14,-4.440892098500629e-14,0.0,-5.551115123125783e-14
25150,X,24.0,33.24733205280161,0.007765648840372122,-615.0577368895944,-2.62506066266926e-12,-2.1316282072803014e-12,-4.924455904781805e-12,1.6283271027835628e-11,-2.7730903992859465e-12,3.700743415417189e-12,-4.835638062811795e-15,-9.676111763686401e-12,-2.4638624473993797e-13,-4.5208281562736394e-11,0.0,9.661160760288112e-10
