batch,state,t,mu0,betaG0,betaF0,Kn0,Kg0,Kf0,Kig0,Kie0,Kd0,Yxn,Yxg,Yxf,Yeg,Yef,m0
25170,G,108.0,-0.011115743848555158,-0.07262394971391786,0.00657583053867058,0.017395729751998563,0.000535062471207909,-1.909160745114305e-05,1.9533242594565148e-05,-0.00016793729774178828,0.0,-0.0006365198388616412,0.0004021563424188238,1.118378330951255e-05,0.03461859500526959,0.00033164987906487997,-0.023992617338856242
25170,G,114.0,-0.006549934219176138,-0.05221442891821852,0.004214132110226475,0.010180012172591823,0.0003674809516885164,-1.2549960844683194e-05,1.2145929695699162e-05,-0.00011161837033645086,0.0,-0.0004409985382398234,0.00024027502997833573,7.73922583412447e-06,0.024855049514671476,0.00025690717769569546,-0.015187537351171844
25170,G,138.0,-0.0006008601066461129,-0.009709348336656758,0.0004546822300271808,0.0009262629373486856,5.710319744025284e-05,-1.5329876961452973e-06,1.2614570781320646e-06,-1.5590982593881126e-05,0.0,-7.091318667453021e-05,2.350576118917877e-05,1.5340215266521842e-06,0.0047149358267134026,9.63408009632905e-05,-0.0020112855945172707
25170,G,156.0,-9.656403799087621e-05,-0.0021979985752554328,1.8560785526452636e-05,0.00014905201572144695,1.1959222836320431e-05,-5.370956374580815e-08,1.6528837070105556e-07,-3.2237802753354696e-06,0.0,-1.5582980621022546e-05,3.869684809610853e-06,5.872577443714666e-07,0.001100541418135088,5.5156079406179486e-05,-0.0005316057588951992
25170,G,162.0,-5.2686549886613664e-05,-0.001295711655412795,-1.582047380904507e-05,8.13922992315847e-05,6.764117290049623e-06,1.321942189292714e-07,6.482594125553237e-08,-1.8996365708103923e-06,0.0,-9.343975842082118e-06,2.092747597115682e-06,4.6429813523892905e-07,0.0006622468421054598,3.492311439376435e-05,-0.0003733269054839964
25170,G,180.0,-6.7122694681291995e-06,-0.00018529340411672915,-7.095097664053116e-06,1.0015131868901486e-05,5.972628009225028e-07,1.503850041731862e-07,-1.3795825281146013e-08,-3.481592826420413e-07,0.0,-1.970576107356565e-06,2.1897726652016585e-07,1.6116263651779842e-07,0.00012050439684123915,6.026467285043736e-06,-0.0001143130818024333
25170,G,186.0,-1.930723638780732e-06,-6.642537218499897e-05,-3.6837207955979207e-06,2.618570502039825e-06,1.423117249933031e-07,5.403719014523923e-08,-5.113655045875694e-09,-1.806316140939989e-07,0.0,-1.1541159093190954e-06,5.4571707697917134e-08,4.6096898708091175e-08,5.7491798076748204e-05,3.1868934179984978e-06,-4.058639861568461e-05
25170,G,204.0,-8.887725300475197e-09,-4.5301655471125347e-07,-2.790097452956357e-07,1.1246690025364666e-08,6.75194852687403e-10,3.11823979297463e-10,-2.5492368970867353e-11,-6.941134255759715e-09,0.0,-1.871645987350613e-07,2.3275960101059104e-10,2.0414212219274234e-10,8.964804660920326e-07,2.775668657469231e-07,-3.7693607400604695e-07
25170,G,210.0,-1.3866188707435622e-09,-7.470153240844286e-08,-6.86048867920442e-08,1.7541372421284803e-09,1.1029120357318147e-10,4.868638728335311e-11,-3.9756503168719215e-12,-1.245019097746167e-09,0.0,-8.341741745345853e-08,3.640412865583052e-11,3.193499970363138e-11,1.5049410125596972e-07,7.388242714071332e-08,-7.260949905984151e-08
25170,G,234.0,4.429947771138866e-13,-5.7756659961860945e-11,-4.216552500014094e-11,-1.6636993262771788e-10,5.452374427043089e-13,-2.3027972653720576e-13,1.1257818324985004e-14,-8.160820135639307e-13,0.0,-2.904696791773613e-10,-4.872182309801761e-13,-1.2563555540916543e-12,1.0625366852496422e-10,5.132903789963495e-11,-8.996781525633192e-11
