policy,species,capture_interval,start_h,end_h,duration_h,capture_stage_1_c,capture_stage_2_c,maximum_capture_interval_h,maximum_capture_interval_policy,within_approved_duration,captured_mass_mean_ug,captured_mass_min_ug,captured_mass_max_ug,cumulative_mass_start_mean_ug,cumulative_mass_end_mean_ug,mass_conservation_max_abs_error_ug,maximum_trap_loading,maximum_trap_loading_policy,trap_loading_constraint_satisfied,vessel_change_required,strategy,dose_design,sampling_mode,watermark,candidate_only_not_for_physical_execution
II_diagonal_1__N80__cold_early,isoamyl_acetate,6,66.0,74.0,8.0,0.0,-40.0,,unbounded_by_hardware,True,15.946305334256872,2.0089676924238473,69.60075956494796,35.303509468816785,51.24981480307366,1.1368683772161603e-13,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N80,independent,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1__N80__cold_early,isoamyl_acetate,7,74.0,98.0,24.0,0.0,-40.0,,unbounded_by_hardware,True,53.28573698020743,27.27779653632831,186.63157255387046,51.24981480307366,104.53555178328108,1.1368683772161603e-13,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N80,independent,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1__N80__cold_early,isoamyl_acetate,8,98.0,162.0,64.0,0.0,-40.0,,unbounded_by_hardware,True,100.0660546467741,45.41566411060832,282.6989013665051,104.53555178328108,204.6016064300552,1.1368683772161603e-13,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N80,independent,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1__N80__cold_early,isoamyl_acetate,9,162.0,186.0,24.0,0.0,-40.0,,unbounded_by_hardware,True,15.531922435176561,6.684528986149388,36.168357881642464,204.6016064300552,220.13352886523177,1.1368683772161603e-13,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N80,independent,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1__N80__warm_late,ethyl_acetate,1,0.0,22.0,22.0,0.0,-40.0,,unbounded_by_hardware,True,203.59832235964961,0.052219597014942054,2041.5025100219164,0.0,203.59832235964961,5.820766091346741e-11,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N80,independent,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1__N80__warm_late,ethyl_acetate,2,22.0,26.0,4.0,0.0,-40.0,,unbounded_by_hardware,True,301.1770109183393,0.04099766070811661,4204.587778341729,203.59832235964961,504.7753332779889,5.820766091346741e-11,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N80,independent,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1__N80__warm_late,ethyl_acetate,3,26.0,42.0,16.0,0.0,-40.0,,unbounded_by_hardware,True,3012.9865592257247,0.7979846615550059,39842.90517249249,504.7753332779889,3517.7618925037145,5.820766091346741e-11,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N80,independent,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1__N80__warm_late,ethyl_acetate,4,42.0,50.0,8.0,0.0,-40.0,,unbounded_by_hardware,True,1891.0329486961994,0.7734147857243556,22630.724860427734,3517.7618925037145,5408.794841199913,5.820766091346741e-11,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N80,independent,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1__N80__warm_late,ethyl_acetate,5,50.0,66.0,16.0,0.0,-40.0,,unbounded_by_hardware,True,4759.428162091108,2.187743093400911,57138.80205203558,5408.794841199913,10168.223003291023,5.820766091346741e-11,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N80,independent,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1__N80__warm_late,ethyl_acetate,6,66.0,74.0,8.0,0.0,-40.0,,unbounded_by_hardware,True,2283.2958219827237,1.1328408319358516,28813.73122819983,10168.223003291023,12451.518825273746,5.820766091346741e-11,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N80,independent,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
