strategy,dose_design,sampling_mode,eigenvalue_rank_ascending,fim_eigenvalue_median,fim_eigenvalue_q10,fim_eigenvalue_minimum,watermark,candidate_only_not_for_physical_execution
III_diagonal_2,N76_historical_anchor,partially_harmonized,1,0.3949664049619384,0.2698591070739801,0.18750082252393685,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N76_historical_anchor,partially_harmonized,2,4.76462712112709,0.4453800039454066,0.304039084198815,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N76_historical_anchor,partially_harmonized,3,79.25356895055097,4.4840392437275565,0.386528729798407,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N76_historical_anchor,partially_harmonized,4,231.82739468034487,215.59415916655036,56.14589751912839,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N76_historical_anchor,partially_harmonized,5,258.94564179632846,242.37868544273178,186.6310960098893,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N76_historical_anchor,partially_harmonized,6,368.66369953366427,274.444598847662,218.47153192323216,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N76_historical_anchor,partially_harmonized,7,968.3778807353237,854.5917751072639,759.6050177263319,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N76_historical_anchor,partially_harmonized,8,1092.8724485510168,973.987975253627,863.2762172193634,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N76_historical_anchor,partially_harmonized,9,1433.26725512977,1179.3326468611724,1026.8780529066912,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N76_all_conservative,independent,1,0.39594903836897366,0.2688341325667888,0.18756601311019588,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N76_all_conservative,independent,2,4.711244473395645,0.4433496673902574,0.3016295056031232,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N76_all_conservative,independent,3,76.98686289633467,4.459599561438499,0.3877438241434422,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N76_all_conservative,independent,4,236.21618352834383,222.37122477797664,57.59857335257508,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
