species,start_index,success,nfev,initial_objective,final_objective,estimate__formation_growth_ug_per_g_sugar,estimate__formation_stationary_ug_per_g_sugar,estimate__effective_loss_scale,forcing_source,fit_scope,estimate__mass_transfer_kla_ref_h_inv,estimate__ethanol_kla_multiplier_per_10_g_l
ethyl_acetate,1,True,30,28974307.340587035,75.30273451612744,41.78511401085693,72.69957796252257,,dynamic_transfer_model,all_data,0.0042579457548636195,0.8995164350299036
ethyl_acetate,4,True,25,793.2587579340252,75.30273664215355,41.79040519267434,72.69796242527012,,dynamic_transfer_model,all_data,0.004260340717587799,0.8997040532595428
ethyl_acetate,3,True,27,3261.402738534925,75.30275078696957,41.75851262290121,72.70450107433872,,dynamic_transfer_model,all_data,0.004273967478913735,0.8993573281582788
ethyl_octanoate,0,True,23,3277830.868345055,375.6208770433939,0.12313023861419195,0.5579953233682563,,dynamic_transfer_model,all_data,0.004038072810449231,0.8730100777984203
ethyl_octanoate,6,True,31,2566899309.555749,375.6208779493436,0.12354783261126501,0.5579126999902403,,dynamic_transfer_model,all_data,0.004035533726973829,0.8732017898053284
ethyl_octanoate,1,True,31,2841667620717.133,375.62089910038674,0.12287898679335081,0.5580524704115681,,dynamic_transfer_model,all_data,0.004037165468973675,0.8731524376076967
ethyl_octanoate,3,True,48,14709845.436157286,375.62090380519965,0.1228523616929944,0.5580708623261881,,dynamic_transfer_model,all_data,0.004040152617096177,0.8728274926052462
ethyl_octanoate,2,True,26,3996874.0215217317,375.6209044508374,0.1230124988709605,0.558038504333977,,dynamic_transfer_model,all_data,0.004034635624885185,0.8732284068853643
ethyl_octanoate,4,True,19,1144.0406307673684,375.62090985712143,0.12422843142710895,0.5577460773335391,,dynamic_transfer_model,all_data,0.004036222119985979,0.8732056709736452
ethyl_octanoate,11,True,29,138057400.01672515,375.62093080093695,0.12324909032042049,0.5580380385421321,,dynamic_transfer_model,all_data,0.004035235232572461,0.8728795875972036
ethyl_octanoate,10,True,26,14635.959515880728,375.62094330810805,0.1227954630991699,0.558089584391227,,dynamic_transfer_model,all_data,0.004041532268465462,0.872630039225231
